NS	GO_ID	dcnt	Depth	human_IC	mouse_IC	fly_IC	Diversity_IC	human_GeneCount	mouse_GeneCount	fly_GeneCount	Diversity_GeneCount	Name
MF	GO:0003674	11197	0	0.0	0.0	0.0	0.0	0	9	3	0.5623351446188083	molecular_function
CC	GO:0005575	4057	0	0.0	0.0	0.0	0.0	0	1	2	0.6365141682948128	cellular_component
BP	GO:0008150	27185	0	0.0	0.0	0.0	0.0	0	6	1	0.410116318288409	biological_process
MF	GO:0005554	11197	0	0.0	0.0	0.0	0.0	0	0	0	0.0	molecular_function
CC	GO:0008372	4057	0	0.0	0.0	0.0	0.0	0	0	0	0.0	cellular_component
BP	GO:0007582	27185	0	0.0	0.0	0.0	0.0	0	0	0	0.0	biological_process
BP	GO:0044699	27185	0	0.0	0.0	0.0	0.0	0	0	0	0.0	biological_process
BP	GO:0000004	27185	0	0.0	0.0	0.0	0.0	0	0	0	0.0	biological_process
BP	GO:0000003	31	1	0.0	0.0	0.0	0.0	0	0	0	0.0	reproduction
BP	GO:0002376	566	1	0.10536051565782628	0.0	0.0	-0.0	0	0	0	0.0	immune system process
MF	GO:0003774	9	1	0.0	0.0	0.0	0.0	0	0	0	0.0	cytoskeletal motor activity
MF	GO:0003824	7542	1	0.0	0.0	2.0794415416798357	-0.0	0	0	0	0.0	catalytic activity
MF	GO:0005198	44	1	0.0	0.0	1.3862943611198906	-0.0	0	0	0	0.0	structural molecule activity
MF	GO:0005215	1084	1	0.0	0.0	0.0	0.0	0	0	0	0.0	transporter activity
MF	GO:0005488	1821	1	0.0	1.2039728043259361	0.9808292530117262	0.687922351892753	0	0	0	0.0	binding
BP	GO:0008152	5838	1	0.0	1.2039728043259361	1.9459101490553135	0.665144212996631	0	0	0	0.0	metabolic process
MF	GO:0009055	10	1	0.0	0.0	0.0	0.0	0	0	0	0.0	electron transfer activity
BP	GO:0009987	10614	1	0.0	0.5108256237659907	0.8472978603872037	0.6621357502309742	0	0	0	0.0	cellular process
BP	GO:0016032	177	1	0.0	0.0	0.0	0.0	0	0	0	0.0	viral process
MF	GO:0016209	30	1	0.0	0.0	0.0	0.0	0	0	0	0.0	antioxidant activity
BP	GO:0022414	793	1	0.0	2.3025850929940455	1.252762968495368	0.6488954332909211	0	0	0	0.0	reproductive process
BP	GO:0032501	1294	1	0.0	0.0	0.8472978603872037	-0.0	0	0	0	0.0	multicellular organismal process
BP	GO:0032502	3105	1	0.0	0.0	1.252762968495368	-0.0	0	0	0	0.0	developmental process
CC	GO:0032991	2122	1	0.10536051565782628	2.3025850929940455	0.0	0.17970050212046404	0	0	0	0.0	protein-containing complex
MF	GO:0038024	17	1	0.0	0.0	0.0	0.0	0	0	0	0.0	cargo receptor activity
BP	GO:0040007	144	1	0.0	0.0	0.0	0.0	0	0	0	0.0	growth
BP	GO:0040011	95	1	0.0	0.0	1.252762968495368	-0.0	0	0	0	0.0	locomotion
BP	GO:0042592	195	1	0.0	2.3025850929940455	0.0	-0.0	0	0	0	0.0	homeostatic process
BP	GO:0043473	18	1	0.0	0.0	0.0	0.0	0	0	0	0.0	pigmentation
MF	GO:0044183	1	1	0.0	0.0	0.0	0.0	0	0	0	0.0	protein folding chaperone
BP	GO:0044419	631	1	0.0	0.0	0.0	0.0	0	0	0	0.0	biological process involved in interspecies interaction between organisms
CC	GO:0044423	45	1	0.0	0.0	0.0	0.0	0	0	0	0.0	virion component
BP	GO:0044848	63	1	0.0	0.0	0.0	0.0	0	0	0	0.0	biological phase
MF	GO:0045182	15	1	0.0	0.0	0.0	0.0	0	0	0	0.0	translation regulator activity
MF	GO:0045735	0	1	0.0	0.0	0.0	0.0	0	0	0	0.0	nutrient reservoir activity
BP	GO:0048511	46	1	0.0	0.0	0.0	0.0	0	0	0	0.0	rhythmic process
BP	GO:0050896	1895	1	0.10536051565782628	2.3025850929940455	0.5596157879354228	0.6299669755632762	0	0	0	0.0	response to stimulus
BP	GO:0051179	1967	1	0.0	0.0	1.252762968495368	-0.0	0	0	0	0.0	localization
BP	GO:0051703	26	1	0.0	0.0	0.0	0.0	0	0	0	0.0	biological process involved in intraspecies interaction between organisms
MF	GO:0060089	398	1	0.0	0.0	0.0	0.0	0	0	0	0.0	molecular transducer activity
MF	GO:0060090	124	1	0.0	0.0	0.0	0.0	0	0	0	0.0	molecular adaptor activity
BP	GO:0065007	11038	1	0.0	0.0	1.252762968495368	-0.0	0	0	0	0.0	biological regulation
MF	GO:0090729	0	1	0.0	0.0	0.0	0.0	0	0	0	0.0	toxin activity
BP	GO:0098754	42	1	0.0	0.0	0.0	0.0	0	0	0	0.0	detoxification
MF	GO:0098772	253	1	0.0	0.0	0.0	0.0	0	0	0	0.0	molecular function regulator activity
CC	GO:0110165	1887	1	0.0	0.0	0.3364722366212129	-0.0	0	0	0	0.0	cellular anatomical entity
MF	GO:0140104	25	1	0.0	0.0	0.0	0.0	0	0	0	0.0	molecular carrier activity
MF	GO:0140110	24	1	0.0	0.0	0.0	0.0	0	0	0	0.0	transcription regulator activity
MF	GO:0140223	3	1	0.0	0.0	0.0	0.0	0	0	0	0.0	general transcription initiation factor activity
MF	GO:0140299	23	1	0.0	0.0	0.0	0.0	0	0	0	0.0	small molecule sensor activity
MF	GO:0140313	9	1	0.0	0.0	1.3862943611198906	-0.0	0	0	2	-0.0	molecular sequestering activity
MF	GO:0140489	3	1	0.0	0.0	0.0	0.0	0	0	0	0.0	molecular template activity
MF	GO:0140522	1	1	0.0	0.0	0.0	0.0	0	0	0	0.0	fusogenic activity
MF	GO:0140657	211	1	0.0	0.0	0.0	0.0	0	0	0	0.0	ATP-dependent activity
MF	GO:0140691	0	1	0.0	0.0	0.0	0.0	0	0	0	0.0	RNA folding chaperone
MF	GO:0140776	4	1	0.0	0.0	0.0	0.0	0	0	0	0.0	protein-containing complex destabilizing activity
MF	GO:0140777	1	1	0.0	0.0	0.0	0.0	0	0	0	0.0	protein-containing complex stabilizing activity
